file_id,file_name,case_id,sample_type,local_path
ab6d59e0-21c2-4273-b094-3596d1b8b825,085e4228-8ed7-44d7-9ab5-8a096434b650.rna_seq.augmented_star_gene_counts.tsv,3aae5316-6a5d-4b83-9020-ad691d4edf99,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/085e4228-8ed7-44d7-9ab5-8a096434b650.rna_seq.augmented_star_gene_counts.tsv
cd10bd5e-b75b-4d47-a103-9c259dcf1a19,c874c481-cff8-4e2d-99b1-3b5aeaaecb8e.rna_seq.augmented_star_gene_counts.tsv,b728e6e8-a0e4-496b-904c-6f07c12e901f,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/c874c481-cff8-4e2d-99b1-3b5aeaaecb8e.rna_seq.augmented_star_gene_counts.tsv
a77adf63-487b-476e-bd33-903005c1dba9,12b633ae-2a36-40b0-a4a3-c1d5f021fa23.rna_seq.augmented_star_gene_counts.tsv,7a6c54f1-f4e4-426b-b306-2ca3c4de12ca,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/12b633ae-2a36-40b0-a4a3-c1d5f021fa23.rna_seq.augmented_star_gene_counts.tsv
00cdff29-697a-4a17-ba67-cf55c006b827,0f35c851-1cb8-4f75-a661-eae9111b7362.rna_seq.augmented_star_gene_counts.tsv,4aadf2a2-ce1e-4f94-b146-59292e83e7fd,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/0f35c851-1cb8-4f75-a661-eae9111b7362.rna_seq.augmented_star_gene_counts.tsv
ea26486f-efa5-427f-ba0c-e1868773dcb6,66e5440a-6b08-43cc-b007-82ac3f5221d1.rna_seq.augmented_star_gene_counts.tsv,3a8ca50f-bc9f-4250-8c8d-22893763ea46,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/66e5440a-6b08-43cc-b007-82ac3f5221d1.rna_seq.augmented_star_gene_counts.tsv
2c73d8ac-84b9-4094-9f5e-fbd6c2e8eabf,c8c7600d-2c13-4df1-b058-2d02432bd49e.rna_seq.augmented_star_gene_counts.tsv,2c9996bb-af6e-4424-881a-e81b9c9aeb78,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/c8c7600d-2c13-4df1-b058-2d02432bd49e.rna_seq.augmented_star_gene_counts.tsv
676943d6-aa9b-4576-abb1-eeaf56850b0b,526e2e75-cc0e-4c03-916c-908fbc271854.rna_seq.augmented_star_gene_counts.tsv,912b61a1-6a5b-451c-b753-9c3dac03e8cb,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/526e2e75-cc0e-4c03-916c-908fbc271854.rna_seq.augmented_star_gene_counts.tsv
7389dfaa-fa36-431f-a3b9-960b4fb9d836,20ed86b0-2e3d-44ec-88cd-eac5486fe15c.rna_seq.augmented_star_gene_counts.tsv,ab9cc98a-86ae-4913-bcb2-cc3aeff8abb1,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/20ed86b0-2e3d-44ec-88cd-eac5486fe15c.rna_seq.augmented_star_gene_counts.tsv
6c26af65-bb77-411b-9d85-308b109764f9,16072816-2afe-4204-9abf-70a38e62db6f.rna_seq.augmented_star_gene_counts.tsv,93cd5d07-e0d3-40f8-ae7f-beadb1efb7c1,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/16072816-2afe-4204-9abf-70a38e62db6f.rna_seq.augmented_star_gene_counts.tsv
b2c13f06-0588-4d2f-b869-91ea5d80b8fb,a8ce7460-8ccd-4638-a854-55c4068af6ec.rna_seq.augmented_star_gene_counts.tsv,f1e6ce83-b4a0-4643-8e8e-a1ef8a158a27,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/a8ce7460-8ccd-4638-a854-55c4068af6ec.rna_seq.augmented_star_gene_counts.tsv
f22b9830-6c68-4680-91d8-ed37f042ca4e,0357aa51-9436-4923-9b1e-eb22bdf647df.rna_seq.augmented_star_gene_counts.tsv,41f8c9fd-ae52-4458-886b-faf37de77dd0,Tumor,/home/logan/.openclaw/workspace/lasso-biomarker-tutorial/data/tcga_coad_python/raw_files/0357aa51-9436-4923-9b1e-eb22bdf647df.rna_seq.augmented_star_gene_counts.tsv
